short_1,"Using two statements, complete the definition of the function swapints that is passed two int variables. The function returns nothing but exchanges the values of the two variables.","void swapints(int &a, int &b) {\nint temp = a;\n",\n}
short_3,Complete the definition of the function absoluteValue such that it receives an integer parameter and returns the absolute value of the parameter's value.,int absoluteValue(int num1) {\n    ,\n        absoluteValue = abs(num1);\n    return absoluteValue;\n}
short_5,"Complete the definition of a function isSenior, that receives an integer parameter and returns true if the parameter's value is greater or equal to 65, and false otherwise\n",bool isSenior(int age) {\n    ,\n    }
short_7,Write the definition of a function min that has two int parameters and returns the smaller.,"int min (int num1, int num2) {\n    ",}
short_9,"Complete the assignment of the variable isFailing such that it is set to true if exam_score is less than 50, and false otherwise",int exam_score;\ncin >> exam_score;\nbool isFailing = ,";\nif (isFailing) {\n    cout << ""You failed!"" << endl;\n    } else {\n        cout << ""You passed!"" << endl;\n        }"
short_11,"Given that an array of int named a has been declared with 12 elements and that the integer variable k holds a value between 0 and 6. Assign 9 to the element just after a[k]."",",a[,] = 9;
short_13,"Complete the definition of a function max that has three int parameters and returns the largest."",","int max(int x,int y,int z) {\n    if (x > z && x > y) {\n        return x;\n        } \n    else if (",) {\n        return y;\n        } \n    else {\n        return z;}\n    }
short_15,"You are given a 6x8 (6 rows, 8 columns) array of integers, x, already initialized and three integer variables: max, i and j. Write the necessary code so that max will have the largest value in the array x."",",max = x[0][0];\nfor(i = 0; i < 6; i++){\n    for(j = 0; j < 8; j++){\n        if(,){\n            max = x[i][j];\n            }\n        }\n}
short_17,"Complete the definition of a function ""fibonacci"" so that it prints the series of numbers is the sum of the two prededing ones. ",int fibonacci(int n) {\n  ,\n  else if (n == 1)\n    return 1;\n\n  return fibonacci(n - 1) + fibonacci(n - 2);\n}
short_19,"Complete a function to capitalize the first letter of each word in a given string. ""toupper"" is a function that when given a character will output the character capitalized.",string capitalize_first_letter(string text) {\n    for (,){\n        if (x == 0 || text[x - 1] == ' '){\n            text[x] = toupper(text[x]); \n        }\n    }\n    return text; \n}
short_21,"Complete a C++ program to multiply two integers without using multiplication, division, bitwise operators, and loops.\nSample Input: 8, 9\nSample Output: 72\n\nInput: -11, 19\nOutput: -209","int multiply_two_nums(int x, int y) { \n    if (y == 0) \n        return 0; \n    if (y > 0) \n        return (x + multiply_two_nums(x, y - 1)); \n    if (y < 0) \n        return ",; \n}\n
short_23,"Complete the function ""digit_sum"" so that the function returns the sum of the digits of a number. ",int digit_sum(int value) {\n  int result = 0;\n  while (value > 0) {\n    result += value % 10;\n    value =,;\n  }\n  return result;\n}
